title,sort,teachable_type,course,term,lesson_number,media,linked_assets,link,heading,tags,question_list
KaViaR.SS17.LA2.E01,Kaviar,Lesson,Lineare Algebra 2,SS&2017,1,KaViaR.SS17.LA2.E01,RestE.SS17.LA2.AltQuiz.E01,,,Eigenwert&Charakterisierungen von Diagonalisierbarkeit&Eigenraum,
KaViaR.SS17.LA2.E02,Kaviar,Lesson,Lineare Algebra 2,SS&2017,2,KaViaR.SS17.LA2.E02,SeSAM.SS17.LA2.E01,,,Charakterisierungen von Diagonalisierbarkeit&charakteristisches Polynom eines Endomorphismus&algebraische Vielfachheit eines Eigenwerts,
KaViaR.SS17.LA2.E03,Kaviar,Lesson,Lineare Algebra 2,SS&2017,3,KaViaR.SS17.LA2.E03,RestE.SS17.LA2.AltQuiz.E02,,,Charakterisierungen von Diagonalisierbarkeit&Satz von Cayley-Hamilton&Minimalpolynom eines Endomorphismus,
KaViaR.SS17.LA2.E04,Kaviar,Lesson,Lineare Algebra 2,SS&2017,4,KaViaR.SS17.LA2.E04,SeSAM.SS17.LA2.E02,,,Charakterisierungen von Diagonalisierbarkeit&Minimalpolynom eines Endomorphismus&Dualraum&Linearform&duale Basis,
KaViaR.SS17.LA2.E05,Kaviar,Lesson,Lineare Algebra 2,SS&2017,5,KaViaR.SS17.LA2.E05,RestE.SS17.LA2.AltQuiz.E03,,,Annullator&duale Abbildung&Bidualraum&Bilinearform,
KaViaR.SS17.LA2.E06,Kaviar,Lesson,Lineare Algebra 2,SS&2017,6,KaViaR.SS17.LA2.E06,,,,Darstellungsmatrix einer Bilinearform&Transformationsformel für die Darstellungsmatrix einer Bilinearform&nicht-ausgeartete Bilinearform&perfekte Bilinearform&symmetrische Bilinearform&antisymmetrische Bilinearform&alternierende Bilinearform,
KaViaR.SS17.LA2.E07,Kaviar,Lesson,Lineare Algebra 2,SS&2017,7,KaViaR.SS17.LA2.E07,RestE.SS17.LA2.AltQuiz.E04,,,quadratische Form&quadratischer Raum&Homomorphismus quadratischer Räume&Existenz von Orthogonalbasen quadratischer Räume,
KaViaR.SS17.LA2.E08,Kaviar,Lesson,Lineare Algebra 2,SS&2017,8,KaViaR.SS17.LA2.E08,,,,Klassifikation quadratischer Räume über C und R&Sylvesterscher Trägheitssatz&Skalarprodukt&Euklidischer Raum&Norm,
KaViaR.SS17.LA2.E09,Kaviar,Lesson,Lineare Algebra 2,SS&2017,9,KaViaR.SS17.LA2.E09,SESAM.SS17.LA2.E03,,,orthogonales Komplement&Orthogonalprojektion&Gram-Schmidt-Verfahren&positiv definite Matrix&Cauchy-Schwarz-Ungleichung,
KaViaR.SS17.LA2.E10+,Kaviar,Lesson,Lineare Algebra 2,SS&2017,10,KaViaR.SS17.LA2.E10&KaViaR.SS17.LA2.SP01,,,,Eigenschaften der Norm&orthogonale Abbildungen und Matrizen&orthogonale und spezielle orthogonale Gruppe&O(2),
