title,type,teachable_type,course,term,lesson_number,media,heading,tags
KaViaR.SS17.LA2.E01,KaviarAsset,Lesson,Lineare Algebra 2,SummerTerm&2017,1,KaViaR.SS17.LA2.E01,,Eigenwert&Charakterisierungen von Diagonalisierbarkeit&Eigenraum
KaViaR.SS17.LA2.E02,KaviarAsset,Lesson,Lineare Algebra 2,SummerTerm&2017,2,KaViaR.SS17.LA2.E02,,Charakterisierungen von Diagonalisierbarkeit&charakteristisches Polynom eines Endomorphismus&algebraische Vielfachheit eines Eigenwerts
KaViaR.SS17.LA2.E03,KaviarAsset,Lesson,Lineare Algebra 2,SummerTerm&2017,3,KaViaR.SS17.LA2.E03,,Charakterisierungen von Diagonalisierbarkeit&Satz von Cayley-Hamilton&Minimalpolynom eines Endomorphismus
KaViaR.SS17.LA2.E04,KaviarAsset,Lesson,Lineare Algebra 2,SummerTerm&2017,4,KaViaR.SS17.LA2.E04,,Charakterisierungen von Diagonalisierbarkeit&Minimalpolynom eines Endomorphismus&Dualraum&Linearform&duale Basis
KaViaR.SS17.LA2.E05,KaviarAsset,Lesson,Lineare Algebra 2,SummerTerm&2017,5,KaViaR.SS17.LA2.E05,,Annullator&duale Abbildung&Bidualraum&Bilinearform
KaViaR.SS17.LA2.E06,KaviarAsset,Lesson,Lineare Algebra 2,SummerTerm&2017,6,KaViaR.SS17.LA2.E06,,Darstellungsmatrix einer Bilinearform&Transformationsformel für die Darstellungsmatrix einer Bilinearform&nicht-ausgeartete Bilinearform&perfekte Bilinearform&symmetrische Bilinearform&antisymmetrische Bilinearform&alternierende Bilinearform
KaViaR.SS17.LA2.E07,KaviarAsset,Lesson,Lineare Algebra 2,SummerTerm&2017,7,KaViaR.SS17.LA2.E07,,quadratische Form&quadratischer Raum&Homomorphismus quadratischer Räume&Existenz von Orthogonalbasen quadratischer Räume
KaViaR.SS17.LA2.E08,KaviarAsset,Lesson,Lineare Algebra 2,SummerTerm&2017,8,KaViaR.SS17.LA2.E08,,Klassifikation quadratischer Räume über C und R&Sylvesterscher Trägheitssatz&Skalarprodukt&Euklidischer Raum&Norm
KaViaR.SS17.LA2.E09,KaviarAsset,Lesson,Lineare Algebra 2,SummerTerm&2017,9,KaViaR.SS17.LA2.E09,,orthogonales Komplement&Orthogonalprojektion&Gram-Schmidt-Verfahren&positiv definite Matrix&Cauchy-Schwarz-Ungleichung
KaViaR.SS17.LA2.E10+,KaviarAsset,Lesson,Lineare Algebra 2,SummerTerm&2017,10,KaViaR.SS17.LA2.E10&KaViaR.SS17.LA2.SP01,,Eigenschaften der Norm&orthogonale Abbildungen und Matrizen&orthogonale und spezielle orthogonale Gruppe&O(2)
KaViaR.SS17.LA2.E11+,KaviarAsset,Lesson,Lineare Algebra 2,SummerTerm&2017,11,KaViaR.SS17.LA2.E11&KaViaR.SS17.LA2.SP02,,O(2)&adjungierte Abbildung&selbstadjungierter Endomorphismus
KaViaR.SS17.LA2.E12+,KaviarAsset,Lesson,Lineare Algebra 2,SummerTerm&2017,12,KaViaR.SS17.LA2.E12&KaViaR.SS17.LA2.SP03,,selbstadjungierter Endomorphismus&Spektralsatz für selbstadjungierte Endomorphismen&Hauptachsentransformation
KaViaR.SS17.LA2.E13,KaviarAsset,Lesson,Lineare Algebra 2,SummerTerm&2017,13,KaViaR.SS17.LA2.E13,,Sesquilinearform&hermitesche Form&unitärer Raum&normaler Endomorphismus
KaViaR.SS17.LA2.E14,KaviarAsset,Lesson,Lineare Algebra 2,SummerTerm&2017,14,KaViaR.SS17.LA2.E14,,Spektralsatz für normale Endomorphismen&Ring&Ringhomomorphismus&Ideal&Restklasse&Faktorring
