title,sort,description,heading,linked_media,author,teachable_type,course,term,lesson_number,video_file_link,video_stream_link,video_thumbnail_link,manuscript_link,external_reference_link,width,height,embedded_width,embedded_height,length,pages,video_size,manuscript_size,authoring_software,video_player,question_id,question_list,tags
KaViaR.SS17.LA2.E01,Kaviar,,,RestE.SS17.LA2.AltQuiz.E01,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,1,ss17/Lineare_Algebra_2/LineareAlgebra.S02E01.1080p/LineareAlgebra.S02E01.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E01.1080p/LineareAlgebra.S02E01.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E01.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E01.pdf,,1620,1080,1080,720,1h07m40s,3,161 MiB,2.2 MiB,Camtasia 9,TechSmith SmartPlayer,,,Eigenwert&Charakterisierungen von Diagonalisierbarkeit&Eigenraum
KaViaR.SS17.LA2.E02,Kaviar,,,SeSAM.SS17.LA2.E01,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,2,ss17/Lineare_Algebra_2/LineareAlgebra.S02E02.1080p/LineareAlgebra.S02E02.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E02.1080p/LineareAlgebra.S02E02.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E02.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E02.pdf,,1620,1080,1080,720,1h29m09s,4,187 MiB,2.6 MiB,Camtasia 9,TechSmith SmartPlayer,,,Charakterisierungen von Diagonalisierbarkeit&charakteristisches Polynom eines Endomorphismus&algebraische Vielfachheit eines Eigenwerts
KaViaR.SS17.LA2.E03,Kaviar,,,RestE.SS17.LA2.AltQuiz.E02,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,3,ss17/Lineare_Algebra_2/LineareAlgebra.S02E03.1080p/LineareAlgebra.S02E03.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E03.1080p/LineareAlgebra.S02E03.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E03.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E03.pdf,,1620,1080,1080,720,1h31m23s,5,189 MiB,3.1 MiB,Camtasia 9,TechSmith SmartPlayer,,,Charakterisierungen von Diagonalisierbarkeit&Satz von Cayley-Hamilton&Minimalpolynom eines Endomorphismus
KaViaR.SS17.LA2.E04,Kaviar,,,SeSAM.SS17.LA2.E02,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E04.1080p/LineareAlgebra.S02E04.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E04.1080p/LineareAlgebra.S02E04.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E04.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E04.pdf,,1620,1080,1080,720,1h27m16s,5,175 MiB,2.5 MiB,Camtasia 9,TechSmith SmartPlayer,,,Charakterisierungen von Diagonalisierbarkeit&Minimalpolynom eines Endomorphismus&Dualraum&Linearform&duale Basis
KaViaR.SS17.LA2.E05,Kaviar,,,RestE.SS17.LA2.AltQuiz.E03,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,5,ss17/Lineare_Algebra_2/LineareAlgebra.S02E05.1080p/LineareAlgebra.S02E05.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E05.1080p/LineareAlgebra.S02E05.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E05.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E05.pdf,,1620,1080,1080,720,1h29m44s,4,184 MiB,2.6 MiB,Camtasia 9,TechSmith SmartPlayer,,,Annullator&duale Abbildung&Bidualraum&Bilinearform
KaViaR.SS17.LA2.E06,Kaviar,,,,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,6,ss17/Lineare_Algebra_2/LineareAlgebra.S02E06.1080p/LineareAlgebra.S02E06.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E06.1080p/LineareAlgebra.S02E06.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E06.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E06.pdf,,1620,1080,1080,720,1h29m27s,4,192 MiB,2.4 MiB,Camtasia 9,TechSmith SmartPlayer,,,Darstellungsmatrix einer Bilinearform&Transformationsformel für die Darstellungsmatrix einer Bilinearform&nicht-ausgeartete Bilinearform&perfekte Bilinearform&symmetrische Bilinearform&antisymmetrische Bilinearform&alternierende Bilinearform
KaViaR.SS17.LA2.E07,Kaviar,,,RestE.SS17.LA2.AltQuiz.E04,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,7,ss17/Lineare_Algebra_2/LineareAlgebra.S02E07.1080p/LineareAlgebra.S02E07.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E07.1080p/LineareAlgebra.S02E07.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E07.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E07.pdf,,1620,1080,1080,720,1h25m29s,3,197 MiB,2.5 MiB,Camtasia 9,TechSmith SmartPlayer,,,quadratische Form&quadratischer Raum&Homomorphismus quadratischer Räume&Existenz von Orthogonalbasen quadratischer Räume
KaViaR.SS17.LA2.E08,Kaviar,,,,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,8,ss17/Lineare_Algebra_2/LineareAlgebra.S02E08.1080p/LineareAlgebra.S02E08.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E08.1080p/LineareAlgebra.S02E08.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E08.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E08.pdf,,1620,1080,1080,720,1h29m21s,4,182 MiB,2.7 MiB,Camtasia 9,TechSmith SmartPlayer,,,Klassifikation quadratischer Räume über C und R&Sylvesterscher Trägheitssatz&Skalarprodukt&Euklidischer Raum&Norm
KaViaR.SS17.LA2.E09,Kaviar,,,SeSAM.SS17.LA2.E03,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,9,ss17/Lineare_Algebra_2/LineareAlgebra.S02E09.1080p/LineareAlgebra.S02E09.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E09.1080p/LineareAlgebra.S02E09.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E09.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E09.pdf,,1620,1080,1080,720,1h32m30s,5,187 MiB,2.6 MiB,Camtasia 9,TechSmith SmartPlayer,,,orthogonales Komplement&Orthogonalprojektion&Gram-Schmidt-Verfahren&positiv definite Matrix&Cauchy-Schwarz-Ungleichung
KaViaR.SS17.LA2.E10,Kaviar,,,KaViaR.SS17.LA2.SP01,Denis Vogel,Lesson,Lineare Algebra 2,SS&2017,10,ss17/Lineare_Algebra_2/LineareAlgebra.S02E10.1080p/LineareAlgebra.S02E10.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E10.1080p/LineareAlgebra.S02E10.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E10.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E10.pdf,,1620,1080,1080,720,1h27m13s,5,181 MiB,2.6 MiB,Camtasia 9,TechSmith SmartPlayer,,,Eigenschaften der Norm&orthogonale Abbildungen und Matrizen&orthogonale und spezielle orthogonale Gruppe&O(2)
